material_id,material_name,supplied_by_id,criticality_level
M001,ECO-298-ULTRA Drum Container,S851,High
M002,GX-403-ULTRA Stainless Steel,S992,High
M003,BETA-371-A Connector,S783,Low
M004,HYPER-209-BIO Nickel Coil,S668,Medium
M005,PRO-991-PRO Microchip,S038,Low
M006,Conductive Drum Container,S049,High
M007,DELTA-33 Processor,S759,Low
M008,BIO-21-C Crate,S494,Medium
M009,Food-Grade Wool Blend,S194,High
M010,MACRO-307-ULTRA Silk Thread,S254,Medium
M011,High-Purity Glass Bottle,S374,Medium
M012,PRO-387-BIO Linen Cloth,S487,Critical
M013,QUANTUM-917-A Label Stock,S850,High
M014,CX-778-MAX Lubricant,S512,Low
M015,BETA-548-A Precision Bearing,S495,Medium
M016,QUANTUM-334-C Motor Stator,S519,Critical
M017,EX-602-PLUS Hydraulic Cylinder,S931,Low
M018,Corrosion-Resistant Kevlar Fiber,S758,Critical
M019,Magnetic Acrylic Panel,S771,High
M020,ZETA-436-MAX Tungsten Carbide,S540,Critical
M021,PRO-833-ULTRA Aluminum Can,S442,High
M022,CX-464-ECO PVC Compound,S179,Medium
M023,OMEGA-228 Brass Fitting,S795,Critical
M024,FX-400-PLUS Crude Oil,S357,Critical
M025,OMEGA-820-BIO Diode,S423,Medium
M026,Optical Denim Fabric,S867,Low
M027,Structural Semiconductor Wafer,S776,Low
M028,Food-Grade Nylon Fiber,S595,Low
M029,Optical Bauxite,S918,High
M030,GX-647-ECO Pump Housing,S351,Medium
M031,Mechanical Nylon Mesh,S540,Low
M032,Optical Precision Bearing,S503,Critical
M033,FX-991-PRO ABS Plastic,S852,Low
M034,Structural Wood Pulp,S073,Low
M035,OMEGA-109-MAX Tungsten Carbide,S496,Medium
M036,SIGMA-624-ECO Shrink Wrap,S856,Critical
M037,PRO-175-C Nylon Mesh,S117,Low
M038,Optical Polyethylene Pellet,S011,Medium
M039,ECO-460-PRO Bauxite,S548,High
M040,MEGA-756-ECO Motor Stator,S085,Critical
M041,MICRO-477-BIO Oscillator,S230,Critical
M042,Food-Grade Wood Pulp,S441,Low
M043,ECO-272-C Processor,S154,Low
