supplier_id,supplier_name,country,city,industry_type
S001,Sun Earth Corp,Germany,Leipzig,Logistics
S002,Central Mountain Ventures,Canada,Vancouver,Aerospace
S003,Atlantic Future International,Australia,Melbourne,Jewelry
S004,Precision Smart Solutions,USA,San Antonio,Construction
S005,National Eco Co,UK,Edinburgh,Plastics
S006,Worldwide Alpha Global,UK,Bristol,Fishing
S007,Sustainable Technical Ltd,Vietnam,Ho Chi Minh City,Textiles
S008,Continental Digital Ventures,USA,Phoenix,Furniture
S009,Worldwide Eco Distributors,Canada,Kitchener,Food & Beverage
S010,Ocean Delta Systems,South Korea,Gwangju,Telecom
S011,Precision Excel Distributors,South Korea,Gwangju,Construction
S012,Superior Professional Ventures,Brazil,São Paulo,Jewelry
S013,United Green Corp,USA,Los Angeles,Sports Equipment
S014,Eco Professional Systems,UK,Manchester,Telecom
S015,Pacific Professional Global,China,Nanjing,Semiconductors
S016,Ocean Epsilon Solutions,Brazil,Porto Alegre,Software
S017,Continental Beta Supply,France,Bordeaux,Agriculture
S018,Creative Orion Solutions,USA,San Antonio,Jewelry
S019,Pacific Universal Systems,Germany,Munich,Mining
S020,Earth Standard Inc,Taiwan,Hsinchu,Oil & Gas
S021,Atlantic Delta Technologies,China,Xi'an,Jewelry
S022,Digital Eco International,Australia,Sydney,Rubber
S023,Earth Modern Manufacturing,UK,Edinburgh,Sports Equipment
S024,Advanced National Global,Taiwan,Chiayi,Apparel
S025,Ocean Mountain Co,Italy,Palermo,Wood & Paper
S026,Orion Green International,Brazil,Rio de Janeiro,Semiconductors
S027,Innovative Delta Manufacturing,China,Xi'an,Hardware
S028,Alpha Mountain Corp,Australia,Sydney,Pharmaceuticals
S029,Federal Elite Inc,Taiwan,Tainan,Mining
S030,Next Atlantic Corp,China,Shanghai,Renewable Energy
S031,Orion Smart Industries,UK,Birmingham,Toys
S032,Pacific Precision Manufacturing,UK,Birmingham,Rubber
S033,Strategic Moon Manufacturing,Vietnam,Ho Chi Minh City,Automotive
S034,Star Pacific Supply,Germany,Essen,Sports Equipment
S035,Sun Technical Ltd,France,Lyon,Construction
S036,Vision Modern Global,Japan,Yokohama,Steel & Metals
S037,Mountain Excel Trading,Italy,Catania,Steel & Metals
S038,Sustainable Elite Ventures,Canada,Calgary,Toys
S039,Creative Lion Technologies,Vietnam,Thu Dau Mot,Shipping
S040,Atlantic Alpha Ventures,France,Montpellier,Shipping
S041,Sustainable Quantum Systems,Australia,Perth,Mining
S042,Phoenix Digital Distributors,Brazil,Porto Alegre,Food & Beverage
S043,Advanced Mountain Co,Canada,Vancouver,Sports Equipment
S044,Gamma Professional International,Vietnam,Nha Trang,Oil & Gas
S045,Eco Standard Distributors,India,Hyderabad,Apparel
S046,Innovative Reliable Manufacturing,Canada,Toronto,Aerospace
S047,Sigma Tiger Systems,Canada,Vancouver,Oil & Gas
S048,Elite Pacific Distributors,Brazil,São Paulo,Renewable Energy
S049,First Prime Supply,UK,Leeds,Jewelry
S050,Elite Omega Solutions,Brazil,Recife,Telecom
S051,Pacific Reliable Industries,South Korea,Incheon,Toys
S052,Mountain Worldwide Trading,UK,Leicester,Chemicals
S053,United Dragon Systems,Italy,Palermo,Apparel
S054,Quality Worldwide Corp,Japan,Tokyo,Steel & Metals
S055,Excel Beta Group,Vietnam,Hanoi,Toys
S056,Moon First Manufacturing,Australia,Gold Coast,Jewelry
S057,Atlantic Technical Global,Germany,Leipzig,Jewelry
S058,Superior Omega Industries,UK,Birmingham,Chemicals
S059,Star Sigma Enterprises,Canada,Ottawa,Steel & Metals
S060,Ocean Epsilon Enterprises,Vietnam,Can Tho,Jewelry
S061,Sustainable Central Manufacturing,China,Shenzhen,Renewable Energy
S062,Innovative Quality Systems,UK,Edinburgh,Textiles
S063,Dragon Digital Systems,Brazil,Salvador,Automotive
S064,Mountain Star International,Canada,Toronto,Manufacturing
S065,Tiger New Industries,Taiwan,New Taipei,Sports Equipment
S066,Orion Advanced Enterprises,South Korea,Daejeon,Shipping
S067,Prime Continental Co,Italy,Bologna,Construction
S068,Reliable Precision Distributors,UK,Bristol,Jewelry
S069,Smart Trusted Technologies,Italy,Catania,Automotive
S070,Professional Ocean Systems,Italy,Palermo,Sports Equipment
S071,Professional Earth Ventures,South Korea,Changwon,Apparel
S072,Eta Superior Supply,Japan,Sapporo,Apparel
S073,Atlantic Phoenix Trading,Taiwan,Taoyuan,Construction
S074,Pegasus Trusted International,France,Lyon,Steel & Metals
S075,Quality Eco Co,Germany,Munich,Rubber
S076,Zeta Reliable Corp,France,Paris,Hardware
S077,Worldwide Apollo Enterprises,USA,San Diego,Steel & Metals
S078,Eta Atlantic Solutions,India,Ahmedabad,Telecom
S079,Innovative Vision Systems,Vietnam,Da Nang,Toys
S080,Sigma Atlantic Corp,Italy,Genoa,Mining
S081,Orion Continental Inc,France,Nice,Hardware
S082,Eco Orion Industries,Italy,Genoa,Aerospace
S083,Universal Elite Corp,Taiwan,Chiayi,Toys
S084,Federal Eagle Co,Italy,Palermo,Automotive
S085,Central Earth Manufacturing,UK,Glasgow,Steel & Metals
S086,Creative Next Enterprises,Mexico,Mexico City,Electronics
S087,New Omega Corp,France,Paris,Sports Equipment
S088,Valley Technical Industries,Canada,Montreal,Automotive
S089,Universal Precision Distributors,Italy,Bari,Wood & Paper
S090,Orion Professional Corp,Italy,Bari,Sports Equipment
S091,Worldwide Creative Solutions,South Korea,Daejeon,Mining
S092,River Quantum Manufacturing,Italy,Florence,Wood & Paper
S093,Smart Eagle Ltd,China,Guangzhou,Telecom
S094,Omega Beta Corp,South Korea,Ulsan,Furniture
S095,Orion Ocean Corp,South Korea,Ulsan,Textiles
S096,Mountain Worldwide International,UK,Edinburgh,Software
S097,Apollo Strategic Trading,Australia,Brisbane,Food & Beverage
S098,Sun Digital Trading,South Korea,Incheon,Food & Beverage
S099,Gamma Eagle Trading,India,Pune,Medical Devices
S100,Pacific Lion Global,China,Beijing,Wood & Paper
S101,Advanced Future Enterprises,Mexico,Monterrey,Automotive
S102,Apollo Sigma Global,Italy,Florence,Rubber
S103,Delta Superior Ventures,Mexico,Guadalajara,Apparel
S104,Pacific Technical Supply,India,Delhi,Toys
S105,Star Green Technologies,France,Paris,Manufacturing
S106,Excel Theta Distributors,UK,London,Mining
S107,New Beta Distributors,Taiwan,Taichung,Aerospace
S108,Prime Superior International,Mexico,Zapopan,Apparel
S109,Federal Orion Co,Japan,Nagoya,Software
S110,Continental Future Industries,USA,Philadelphia,Toys
S111,Innovative Premium Inc,Vietnam,Nha Trang,Telecom
S112,Tiger Superior Industries,Brazil,Curitiba,Logistics
S113,Standard Precision Industries,France,Nice,Renewable Energy
S114,Epsilon Creative Industries,Italy,Bari,Manufacturing
S115,Advanced Trusted Global,France,Montpellier,Hardware
S116,Sun Eco Manufacturing,Brazil,Recife,Telecom
S117,River Premium Corp,South Korea,Seongnam,Textiles
S118,Lion United Manufacturing,China,Nanjing,Semiconductors
S119,Creative Central Co,UK,Glasgow,Toys
S120,Continental Professional Industries,Taiwan,Kaohsiung,Medical Devices
S121,Professional Creative Ventures,India,Bangalore,Rubber
S122,Dynamic Phoenix Trading,USA,Los Angeles,Medical Devices
S123,River Phoenix Ventures,China,Chengdu,Automotive
S124,Delta Dragon International,Japan,Kawasaki,Pharmaceuticals
S125,Excel Quantum International,Brazil,Manaus,Agriculture
S126,Future Universal Trading,Canada,Vancouver,Semiconductors
S127,Quality Earth Manufacturing,USA,Chicago,Medical Devices
S128,Innovative Theta Industries,Mexico,Nezahualcóyotl,Oil & Gas
S129,Zeta Reliable Technologies,Taiwan,Changhua,Hardware
S130,United Mountain Manufacturing,China,Tianjin,Hardware
S131,Pacific National Group,India,Pune,Electronics
S132,Reliable Modern Corp,Italy,Catania,Wood & Paper
S133,Smart Alpha Manufacturing,South Korea,Gwangju,Mining
S134,Eagle Orion Ventures,Japan,Kyoto,Telecom
S135,Orion Zeta Supply,France,Nice,Plastics
S136,Innovative Moon Systems,India,Hyderabad,Telecom
S137,Eco Federal Corp,UK,Leeds,Wood & Paper
S138,Worldwide River Supply,USA,New York,Plastics
S139,Reliable Dragon Manufacturing,France,Nantes,Plastics
S140,Mountain Central Solutions,Canada,Vancouver,Textiles
S141,Lion Vision Industries,France,Bordeaux,Rubber
S142,Superior Excel Systems,UK,Liverpool,Aerospace
S143,Atlantic Eagle Group,India,Chennai,Sports Equipment
S144,Quality Standard Enterprises,UK,Leeds,Sports Equipment
S145,Atlantic Continental Manufacturing,Canada,Calgary,Mining
S146,Phoenix Theta Ventures,South Korea,Ulsan,Logistics
S147,Delta Star Manufacturing,China,Hangzhou,Sports Equipment
S148,Tiger Technical Enterprises,Italy,Florence,Jewelry
S149,Technical Dragon Supply,South Korea,Changwon,Furniture
S150,Technical Quality Solutions,Germany,Dortmund,Agriculture
S151,Technical Sigma Solutions,USA,Dallas,Sports Equipment
S152,Star Quality Ventures,Australia,Brisbane,Sports Equipment
S153,Omega Future Trading,USA,Houston,Mining
S154,Strategic Theta International,Italy,Palermo,Jewelry
S155,Dragon Theta Ventures,France,Strasbourg,Toys
S156,Atlantic Epsilon Trading,Brazil,Recife,Wood & Paper
S157,Trusted Pegasus Technologies,China,Chengdu,Agriculture
S158,River Precision International,Italy,Palermo,Medical Devices
S159,Ocean Smart Trading,Brazil,Curitiba,Jewelry
S160,Zeta Star Distributors,Brazil,Manaus,Software
S161,Omega Delta Enterprises,Brazil,Fortaleza,Steel & Metals
S162,Strategic Central Manufacturing,UK,Leicester,Apparel
S163,Excel Federal Ltd,Mexico,Puebla,Logistics
S164,Mountain Federal International,Canada,Kitchener,Steel & Metals
S165,Superior United Ventures,South Korea,Ulsan,Aerospace
S166,Modern Sigma Manufacturing,Brazil,Belo Horizonte,Sports Equipment
S167,Federal Advanced Co,USA,Los Angeles,Wood & Paper
S168,Future Beta Trading,Brazil,Brasília,Shipping
S169,Moon Technical Manufacturing,Brazil,Recife,Jewelry
S170,Elite National Ltd,South Korea,Gwangju,Jewelry
S171,Atlantic Smart Global,India,Jaipur,Textiles
S172,Alpha Future Co,South Korea,Ulsan,Automotive
S173,Theta Central Enterprises,Vietnam,Hanoi,Chemicals
S174,Earth Gamma Supply,Germany,Cologne,Aerospace
S175,Delta Atlantic Corp,Japan,Tokyo,Electronics
S176,Advanced United Global,UK,Leeds,Fishing
S177,Pegasus First International,Canada,Toronto,Electronics
S178,Advanced Next Distributors,USA,Dallas,Sports Equipment
S179,Advanced Technical Industries,China,Wuhan,Automotive
S180,Beta Dynamic Co,Canada,Ottawa,Automotive
S181,Federal Advanced Ltd,Taiwan,New Taipei,Fishing
S182,Quantum Continental Corp,Germany,Hamburg,Telecom
S183,Ocean Vision Trading,Vietnam,Ho Chi Minh City,Chemicals
S184,Digital Green Co,USA,Los Angeles,Fishing
S185,Eco Digital Systems,Brazil,Manaus,Automotive
S186,Theta Lion Industries,Italy,Florence,Logistics
S187,River Prime Global,Italy,Florence,Renewable Energy
S188,Moon Creative Supply,Japan,Kawasaki,Wood & Paper
S189,Universal Tiger Corp,India,Delhi,Textiles
S190,Next Reliable Supply,Brazil,Manaus,Aerospace
S191,Digital Pegasus Enterprises,South Korea,Seongnam,Jewelry
S192,Valley Pegasus International,Australia,Sydney,Toys
S193,Excel Omega International,Italy,Florence,Aerospace
S194,Epsilon Quality Systems,Japan,Kobe,Oil & Gas
S195,Creative Premium Global,Japan,Fukuoka,Textiles
S196,Precision Reliable Inc,France,Nice,Electronics
S197,Excel Phoenix Group,Brazil,Rio de Janeiro,Electronics
S198,Digital Worldwide Trading,France,Marseille,Toys
S199,Advanced Dynamic Distributors,Canada,Quebec City,Agriculture
S200,Moon Strategic Trading,Mexico,Guadalajara,Telecom
S201,Dynamic Digital Inc,Japan,Sapporo,Construction
S202,National Digital Inc,Italy,Bari,Agriculture
S203,Pacific Beta Manufacturing,Vietnam,Hue,Shipping
S204,Zeta Superior Systems,Australia,Melbourne,Software
S205,Pacific Valley Systems,China,Hangzhou,Oil & Gas
S206,National Pegasus Group,Germany,Dortmund,Semiconductors
S207,Eta Sigma Enterprises,France,Lille,Aerospace
S208,Central Green Technologies,India,Chennai,Apparel
S209,Sigma New Supply,India,Ahmedabad,Telecom
S210,Dragon Future Supply,Brazil,Curitiba,Chemicals
S211,Pacific Premium Technologies,Canada,Ottawa,Renewable Energy
S212,Innovative Prime International,India,Ahmedabad,Plastics
S213,Trusted New Trading,Germany,Essen,Jewelry
S214,Premium Precision Industries,UK,Leeds,Textiles
S215,Excel Pacific Manufacturing,Japan,Kobe,Textiles
S216,Continental River Systems,Brazil,Rio de Janeiro,Wood & Paper
S217,Lion Future Co,South Korea,Daejeon,Medical Devices
S218,First Digital Industries,USA,Phoenix,Medical Devices
S219,Pegasus Central International,China,Shanghai,Logistics
S220,Elite Future Ventures,Brazil,Curitiba,Agriculture
S221,Sun National Supply,USA,San Antonio,Apparel
S222,Modern Delta Corp,Taiwan,New Taipei,Jewelry
S223,Continental Delta Inc,Canada,Ottawa,Telecom
S224,Quality Prime Solutions,China,Xi'an,Electronics
S225,Sun Gamma Trading,USA,Phoenix,Renewable Energy
S226,United Beta Group,Mexico,Puebla,Semiconductors
S227,Epsilon Eta International,Australia,Adelaide,Electronics
S228,Alpha Moon Solutions,Germany,Essen,Renewable Energy
S229,Mountain Lion Inc,Japan,Nagoya,Furniture
S230,Continental Standard Systems,Vietnam,Hanoi,Rubber
S231,Sustainable Earth Corp,China,Chengdu,Mining
S232,Mountain Eta Ltd,South Korea,Daejeon,Wood & Paper
S233,Prime Atlantic Distributors,South Korea,Daegu,Furniture
S234,Strategic Technical Global,Vietnam,Da Nang,Medical Devices
S235,Pacific Earth Global,Canada,Hamilton,Mining
S236,Alpha Creative Solutions,Taiwan,Hsinchu,Jewelry
S237,Professional Valley Supply,UK,Manchester,Mining
S238,Next Lion Systems,Taiwan,Kaohsiung,Pharmaceuticals
S239,Alpha Lion Ltd,Mexico,Zapopan,Renewable Energy
S240,Gamma Eta Distributors,South Korea,Busan,Sports Equipment
S241,Theta Vision International,UK,Edinburgh,Semiconductors
S242,Apollo Standard Industries,India,Chennai,Steel & Metals
S243,Pacific Mountain Industries,Japan,Yokohama,Textiles
S244,Prime Excel Corp,Australia,Newcastle,Sports Equipment
S245,Innovative Future Enterprises,Vietnam,Hanoi,Plastics
S246,First Lion Group,India,Ahmedabad,Textiles
S247,Central Dragon Ventures,Mexico,Zapopan,Logistics
S248,Next Dynamic Trading,Taiwan,Taipei,Plastics
S249,Prime First Ltd,Japan,Nagoya,Telecom
S250,Reliable Apollo Corp,South Korea,Seoul,Electronics
S251,Ocean Superior Ventures,Vietnam,Nha Trang,Medical Devices
S252,New Sigma Corp,UK,Glasgow,Electronics
S253,Alpha Beta Technologies,France,Marseille,Rubber
S254,Elite Gamma Group,India,Pune,Apparel
S255,Dragon Mountain Ventures,Canada,Hamilton,Hardware
S256,Atlantic Modern Solutions,Germany,Stuttgart,Furniture
S257,Technical Beta Manufacturing,Vietnam,Bien Hoa,Electronics
S258,Excel Federal Global,France,Lyon,Apparel
S259,Sustainable Future Technologies,UK,Leicester,Manufacturing
S260,Apollo Future Solutions,Japan,Kyoto,Software
S261,First Phoenix Group,Japan,Fukuoka,Steel & Metals
S262,Strategic Tiger Global,China,Shanghai,Logistics
S263,Elite Reliable Distributors,Taiwan,Taoyuan,Chemicals
S264,Green Superior Trading,France,Nice,Manufacturing
S265,Modern New Group,Australia,Perth,Hardware
S266,Technical Eco Co,Brazil,Rio de Janeiro,Furniture
S267,Tiger Advanced Manufacturing,Italy,Turin,Steel & Metals
S268,Creative Star Group,Australia,Brisbane,Medical Devices
S269,Technical Quality International,Mexico,Monterrey,Pharmaceuticals
S270,Smart Continental Inc,UK,Liverpool,Construction
S271,Alpha Epsilon Technologies,Japan,Osaka,Oil & Gas
S272,Superior Moon Supply,South Korea,Busan,Food & Beverage
S273,Eco National Enterprises,Italy,Naples,Fishing
S274,Technical Reliable Group,UK,London,Jewelry
S275,Phoenix Creative Industries,Germany,Leipzig,Rubber
S276,Apollo Innovative Global,France,Paris,Wood & Paper
S277,National Epsilon Inc,Germany,Dortmund,Rubber
S278,Smart Atlantic Inc,Brazil,São Paulo,Shipping
S279,Advanced Orion Industries,Vietnam,Thu Dau Mot,Toys
S280,Phoenix Green Co,Canada,Calgary,Steel & Metals
S281,Orion River Co,France,Lille,Sports Equipment
S282,Gamma Smart Ventures,South Korea,Incheon,Aerospace
S283,Green Tiger Inc,India,Surat,Medical Devices
S284,Apollo Innovative Manufacturing,Canada,Vancouver,Toys
S285,Lion Orion Corp,Taiwan,Chiayi,Textiles
S286,Excel Technical Enterprises,Italy,Turin,Apparel
S287,Omega Sun Manufacturing,Germany,Cologne,Mining
S288,Epsilon Technical Technologies,France,Bordeaux,Wood & Paper
S289,Innovative Technical Corp,Mexico,Nezahualcóyotl,Plastics
S290,Beta Prime Solutions,Canada,Vancouver,Plastics
S291,Quality Earth Co,India,Bangalore,Hardware
S292,Tiger Green Manufacturing,Canada,Calgary,Steel & Metals
S293,Worldwide Premium Co,Brazil,Fortaleza,Rubber
S294,Ocean Atlantic Global,USA,Chicago,Electronics
S295,Modern Universal Ventures,Italy,Bologna,Electronics
S296,Tiger Earth Technologies,Germany,Stuttgart,Chemicals
S297,Pacific Trusted Group,Italy,Genoa,Shipping
S298,Alpha Creative Enterprises,Mexico,Nezahualcóyotl,Chemicals
S299,Advanced Prime Inc,India,Bangalore,Furniture
S300,Quality Tiger Manufacturing,USA,San Diego,Food & Beverage
S301,Continental Professional Supply,Italy,Catania,Medical Devices
S302,Lion Elite Manufacturing,Vietnam,Bien Hoa,Hardware
S303,Delta Innovative Global,India,Jaipur,Medical Devices
S304,Excel Atlantic Solutions,USA,Dallas,Furniture
S305,Sun Omega Corp,USA,Philadelphia,Renewable Energy
S306,Future Continental International,UK,London,Toys
S307,Gamma Innovative Supply,Canada,Edmonton,Plastics
S308,New Precision Group,UK,Leeds,Electronics
S309,Sustainable Sigma Global,Brazil,Curitiba,Telecom
S310,National Atlantic Manufacturing,France,Strasbourg,Jewelry
S311,Omega Professional Systems,South Korea,Daegu,Wood & Paper
S312,Strategic Eta Corp,Japan,Tokyo,Rubber
S313,Dynamic Worldwide Global,Mexico,León,Chemicals
S314,Creative Elite Distributors,Vietnam,Can Tho,Telecom
S315,National Theta Inc,Japan,Yokohama,Agriculture
S316,Superior Zeta Manufacturing,France,Strasbourg,Food & Beverage
S317,Trusted Eta Distributors,India,Mumbai,Fishing
S318,Tiger Apollo Global,Mexico,Nezahualcóyotl,Jewelry
